LOC_00000343-mRNA-1	sp|Q8N539|FBCD1_HUMAN	*-*	Fibrinogen C domain-containing protein 1		GO:0005515, GO:0005615, GO:0008061, GO:0016020, GO:0046872, GO:0062023
LOC_00000392-mRNA-2	tr|K7ZL84|K7ZL84_CULQU	***	Cytochrome P450		GO:0004497, GO:0005506, GO:0005789, GO:0016020, GO:0016491, GO:0016705, GO:0020037, GO:0046872
LOC_00000392-mRNA-1	tr|K7ZL84|K7ZL84_CULQU	***	Cytochrome P450		GO:0004497, GO:0005506, GO:0005789, GO:0016020, GO:0016491, GO:0016705, GO:0020037, GO:0046872
LOC_00000364-mRNA-1	tr|A0A0R3Q7D3|A0A0R3Q7D3_9BILA	***	Reverse transcriptase domain-containing protein		GO:0003824
LOC_00000494-mRNA-1	tr|B0W4Y1|B0W4Y1_CULQU	***	Alpha-amylase		GO:0003824, GO:0004556, GO:0005975, GO:0008152, GO:0016787, GO:0016798, GO:0043169, GO:0046872
LOC_00000266-mRNA-1	tr|A0A8D8KY01|A0A8D8KY01_CULPI	***	Coiled-coil domain-containing protein 130 homolog		GO:0000398
LOC_00000420-mRNA-6	tr|B0X5Y4|B0X5Y4_CULQU	***	Splicing factor		GO:0003676, GO:0003723, GO:0005634, GO:0006397
LOC_00000420-mRNA-5	tr|A0A8D8CA34|A0A8D8CA34_CULPI	***	RNA-binding protein 39		GO:0003676, GO:0003723, GO:0005634, GO:0006397
LOC_00000420-mRNA-8	tr|B0X5Y4|B0X5Y4_CULQU	***	Splicing factor		GO:0003676, GO:0003723, GO:0005634, GO:0006397
LOC_00000420-mRNA-7	tr|A0A8D8CA34|A0A8D8CA34_CULPI	***	RNA-binding protein 39		GO:0003676, GO:0003723, GO:0005634, GO:0006397
LOC_00000420-mRNA-2	tr|B0X5Y4|B0X5Y4_CULQU	***	Splicing factor		GO:0003676, GO:0003723, GO:0005634, GO:0006397
LOC_00000420-mRNA-1	tr|B0X5Y4|B0X5Y4_CULQU	***	Splicing factor		GO:0003676, GO:0003723, GO:0005634, GO:0006397
LOC_00000420-mRNA-4	tr|A0A8D8CA34|A0A8D8CA34_CULPI	***	RNA-binding protein 39		GO:0003676, GO:0003723, GO:0005634, GO:0006397
LOC_00000420-mRNA-3	tr|A0A8D8CA34|A0A8D8CA34_CULPI	***	RNA-binding protein 39		GO:0003676, GO:0003723, GO:0005634, GO:0006397
LOC_00000420-mRNA-9	tr|B0X5Y4|B0X5Y4_CULQU	***	Splicing factor		GO:0003676, GO:0003723, GO:0005634, GO:0006397
LOC_00000415-mRNA-3	tr|A0A8D8K4Q6|A0A8D8K4Q6_CULPI	***	Transcriptional regulator ATRX homolog		GO:0000166, GO:0003677, GO:0004386, GO:0005524, GO:0005634, GO:0006338, GO:0016787, GO:0016887, GO:0043229, GO:0140658
LOC_00000415-mRNA-1	tr|A0A8D8K4Q6|A0A8D8K4Q6_CULPI	***	Transcriptional regulator ATRX homolog		GO:0000166, GO:0003677, GO:0004386, GO:0005524, GO:0005634, GO:0006338, GO:0016787, GO:0016887, GO:0043229, GO:0140658
LOC_00000415-mRNA-2	tr|A0A8D8K4Q6|A0A8D8K4Q6_CULPI	***	Transcriptional regulator ATRX homolog		GO:0000166, GO:0003677, GO:0004386, GO:0005524, GO:0005634, GO:0006338, GO:0016787, GO:0016887, GO:0043229, GO:0140658
LOC_00000322-mRNA-1	tr|A0A8D8GG60|A0A8D8GG60_CULPI	***	Geranylgeranyl transferase type-2 subunit alpha		GO:0004659, GO:0004663, GO:0008318, GO:0016740, GO:0097354
LOC_00000322-mRNA-2	tr|A0A8D8CV12|A0A8D8CV12_CULPI	***	Geranylgeranyl transferase type-2 subunit alpha		GO:0004659, GO:0004663, GO:0008318, GO:0016740, GO:0097354
LOC_00000359-mRNA-1	sp|Q2RKZ8|OBG_MOOTA	***	GTPase Obg		GO:0000166, GO:0000287, GO:0003924, GO:0005525, GO:0005737, GO:0016787, GO:0017111, GO:0042254, GO:0046872
LOC_00000471-mRNA-1	sp|Q9VJ33|NEDD8_DROME	***	NEDD8		GO:0005634, GO:0008283, GO:0008589, GO:0019941, GO:0030162, GO:0030431, GO:0031386, GO:0031625, GO:0031647, GO:0036099, GO:0045116, GO:0045879, GO:0051438, GO:2000736
LOC_00000289-mRNA-1	tr|A0A8D8I168|A0A8D8I168_CULPI	***	ATR-interacting protein mus304		GO:0000077
LOC_00000350-mRNA-2	sp|A2AV25|FBCD1_MOUSE	*-*	Fibrinogen C domain-containing protein 1		GO:0005615, GO:0008061, GO:0016020, GO:0046872, GO:0062023
LOC_00000350-mRNA-1	sp|A2AV25|FBCD1_MOUSE	*-*	Fibrinogen C domain-containing protein 1		GO:0005615, GO:0008061, GO:0016020, GO:0046872, GO:0062023
LOC_00000183-mRNA-2	tr|A0A6I8U6X4|A0A6I8U6X4_AEDAE	***	YqaJ viral recombinase domain-containing protein		GO:0006281
LOC_00000183-mRNA-1	tr|A0A6I8U4C3|A0A6I8U4C3_AEDAE	***	SWIM-type domain-containing protein		GO:0006281, GO:0008270
LOC_00000183-mRNA-5	tr|A0A6I8U386|A0A6I8U386_AEDAE	***	SWIM-type domain-containing protein		GO:0008270
LOC_00000183-mRNA-4	tr|A0A6I8U6X4|A0A6I8U6X4_AEDAE	***	YqaJ viral recombinase domain-containing protein		GO:0006281
LOC_00000183-mRNA-3	tr|A0A6I8U4C3|A0A6I8U4C3_AEDAE	***	SWIM-type domain-containing protein		GO:0006281, GO:0008270
LOC_00000313-mRNA-2	tr|Q17FQ3|Q17FQ3_AEDAE	***	AAEL003338-PA		GO:0005634, GO:0008270, GO:0046872
LOC_00000313-mRNA-1	tr|Q17FQ3|Q17FQ3_AEDAE	***	AAEL003338-PA		GO:0005634, GO:0008270, GO:0046872
LOC_00000503-mRNA-1	tr|B0XJ41|B0XJ41_CULQU	***	Serine protease		GO:0004252, GO:0006508, GO:0008233, GO:0016787
LOC_00000201-mRNA-1	tr|B0W292|B0W292_CULQU	***	Valacyclovir hydrolase		GO:0016787
LOC_00000447-mRNA-8	tr|B0W527|B0W527_CULQU	***	Zinc finger protein 333		GO:0005634, GO:0008270, GO:0046872
LOC_00000447-mRNA-6	tr|B0W527|B0W527_CULQU	***	Zinc finger protein 333		GO:0005634, GO:0008270, GO:0046872
LOC_00000447-mRNA-7	tr|B0W527|B0W527_CULQU	***	Zinc finger protein 333		GO:0005634, GO:0008270, GO:0046872
LOC_00000447-mRNA-4	tr|B0W527|B0W527_CULQU	***	Zinc finger protein 333		GO:0005634, GO:0008270, GO:0046872
LOC_00000447-mRNA-5	tr|B0W527|B0W527_CULQU	***	Zinc finger protein 333		GO:0005634, GO:0008270, GO:0046872
LOC_00000447-mRNA-2	tr|B0W527|B0W527_CULQU	***	Zinc finger protein 333		GO:0005634, GO:0008270, GO:0046872
LOC_00000447-mRNA-3	tr|B0W527|B0W527_CULQU	***	Zinc finger protein 333		GO:0005634, GO:0008270, GO:0046872
LOC_00000447-mRNA-1	tr|B0W527|B0W527_CULQU	***	Zinc finger protein 333		GO:0005634, GO:0008270, GO:0046872
LOC_00000160-mRNA-1	tr|A0A8X6H735|A0A8X6H735_TRICU	*-*	YqaJ domain-containing protein		GO:0006281
LOC_00000294-mRNA-1	tr|A0A8D8KCG5|A0A8D8KCG5_CULPI	***	Zinc finger protein 778		GO:0005634, GO:0046872
LOC_00000368-mRNA-1	tr|A0A1Q3FKI4|A0A1Q3FKI4_CULTA	***	NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial		GO:0005739, GO:0005743, GO:0005747, GO:0006120, GO:0016020, GO:0070469
LOC_00000178-mRNA-1	tr|A0A8D8BTS5|A0A8D8BTS5_CULPI	***	Cytokine receptor		GO:0016020
LOC_00000178-mRNA-2	tr|A0A8D8BTS5|A0A8D8BTS5_CULPI	***	Cytokine receptor		GO:0016020
LOC_00000490-mRNA-1	tr|A0A6H5GTQ9|A0A6H5GTQ9_9HEMI	*-*	RNase H type-1 domain-containing protein		GO:0000166, GO:0003676, GO:0004523, GO:0005524, GO:0005737, GO:0005856, GO:0005874, GO:0007018, GO:0008569, GO:0016887, GO:0030286, GO:0045505, GO:0051959, GO:0090304
LOC_00000457-mRNA-1	tr|B0W518|B0W518_CULQU	***	RGS domain-containing protein		GO:0051018
LOC_00000457-mRNA-2	tr|B0W518|B0W518_CULQU	***	RGS domain-containing protein		GO:0051018
LOC_00000345-mRNA-1	tr|B0XB96|B0XB96_CULQU	***	Cadherin		GO:0005509, GO:0007156, GO:0016020, GO:0098609
LOC_00000345-mRNA-2	tr|A0A182UVW2|A0A182UVW2_ANOME	*-*	Cadherin		GO:0001736, GO:0005509, GO:0005886, GO:0007155, GO:0007156, GO:0007163, GO:0016020, GO:0016043, GO:0030154, GO:0048513, GO:0098609
LOC_00000224-mRNA-1	tr|B0W263|B0W263_CULQU	***	Stress-activated protein kinase JNK		GO:0000165, GO:0000166, GO:0004672, GO:0004674, GO:0004707, GO:0005524, GO:0005737, GO:0007154, GO:0009605, GO:0016301, GO:0016310, GO:0016740, GO:0033554, GO:0106310
LOC_00000234-mRNA-1	tr|A0A8D8EQM9|A0A8D8EQM9_CULPI	***	ATP-binding cassette sub-family G member 4		GO:0000166, GO:0005524, GO:0016020, GO:0016887, GO:0055085, GO:0140359
LOC_00000336-mRNA-1	tr|B0WGM3|B0WGM3_CULQU	***	Protein Wnt		GO:0005102, GO:0005576, GO:0007165, GO:0007267, GO:0016055, GO:0048699
LOC_00000271-mRNA-1	tr|A0A8D8G1G9|A0A8D8G1G9_CULPI	***	(northern house mosquito) hypothetical protein		
LOC_00000247-mRNA-1	tr|B0WQD5|B0WQD5_CULQU	*-*	Serrate protein		GO:0005509, GO:0016020, GO:0048468
LOC_00000192-mRNA-1	tr|B0W279|B0W279_CULQU	*-*	Serine protease		GO:0004252, GO:0006508, GO:0008233, GO:0016787
LOC_00000326-mRNA-1	tr|A0A8D8I0H0|A0A8D8I0H0_CULPI	***	(northern house mosquito) hypothetical protein		
LOC_00000326-mRNA-2	tr|A0A8D8I0H0|A0A8D8I0H0_CULPI	***	(northern house mosquito) hypothetical protein		
LOC_00000326-mRNA-3	tr|A0A8D8I0H0|A0A8D8I0H0_CULPI	***	(northern house mosquito) hypothetical protein		
LOC_00000489-mRNA-1	tr|A0A0Q9WVM4|A0A0Q9WVM4_DROWI	***	Reverse transcriptase domain-containing protein		GO:0071897
LOC_00000401-mRNA-1	tr|A0A8D8GGR9|A0A8D8GGR9_CULPI	***	Zinc finger protein 585A		GO:0005634, GO:0008270, GO:0046872
LOC_00000401-mRNA-3	tr|A0A8D8GGR9|A0A8D8GGR9_CULPI	***	Zinc finger protein 585A		GO:0005634, GO:0008270, GO:0046872
LOC_00000401-mRNA-2	tr|A0A8D8GGR9|A0A8D8GGR9_CULPI	***	Zinc finger protein 585A		GO:0005634, GO:0008270, GO:0046872
LOC_00000401-mRNA-4	tr|A0A8D8GGR9|A0A8D8GGR9_CULPI	***	Zinc finger protein 585A		GO:0005634, GO:0008270, GO:0046872
LOC_00000434-mRNA-2	tr|A0A2C9GS71|A0A2C9GS71_ANOAR	***	ATP-binding cassette transporter (ABC transporter) family C member		GO:0000166, GO:0005524, GO:0005774, GO:0016020, GO:0016887, GO:0022857, GO:0055085, GO:0140359
LOC_00000434-mRNA-3	tr|A0A2C9GS71|A0A2C9GS71_ANOAR	***	ATP-binding cassette transporter (ABC transporter) family C member		GO:0000166, GO:0005524, GO:0005774, GO:0016020, GO:0016887, GO:0022857, GO:0055085, GO:0140359
LOC_00000434-mRNA-1	tr|A0A2C9GS71|A0A2C9GS71_ANOAR	***	ATP-binding cassette transporter (ABC transporter) family C member		GO:0000166, GO:0005524, GO:0005774, GO:0016020, GO:0016887, GO:0022857, GO:0055085, GO:0140359
LOC_00000434-mRNA-4	tr|A0A2C9GS71|A0A2C9GS71_ANOAR	***	ATP-binding cassette transporter (ABC transporter) family C member		GO:0000166, GO:0005524, GO:0005774, GO:0016020, GO:0016887, GO:0022857, GO:0055085, GO:0140359
LOC_00000411-mRNA-5	tr|B0X5X1|B0X5X1_CULQU	***	peptidylprolyl isomerase		GO:0003755, GO:0016853
LOC_00000411-mRNA-3	tr|A0A8D8GVP6|A0A8D8GVP6_CULPI	***	peptidylprolyl isomerase		GO:0003755, GO:0016853
LOC_00000411-mRNA-4	tr|A0A8D8GVP6|A0A8D8GVP6_CULPI	***	peptidylprolyl isomerase		GO:0003755, GO:0016853
LOC_00000411-mRNA-1	tr|A0A8D8GVP6|A0A8D8GVP6_CULPI	***	peptidylprolyl isomerase		GO:0003755, GO:0016853
LOC_00000411-mRNA-2	tr|B0X5X1|B0X5X1_CULQU	***	peptidylprolyl isomerase		GO:0003755, GO:0016853
LOC_00000257-mRNA-1	tr|A0A8D8MG38|A0A8D8MG38_CULPI	***	(northern house mosquito) hypothetical protein		GO:0008270
LOC_00000378-mRNA-1	tr|B0X3U0|B0X3U0_CULQU	***	Hemolymph juvenile hormone binding protein		
LOC_00000480-mRNA-1	tr|A0A1Q3EWW1|A0A1Q3EWW1_CULTA	***	F-box domain-containing protein		GO:0046872
LOC_00000424-mRNA-1	tr|A0A8D8ITG4|A0A8D8ITG4_CULPI	***	Zinc finger protein 432		GO:0005634, GO:0008270, GO:0046872
LOC_00000499-mRNA-1	tr|B0XJ44|B0XJ44_CULQU	***	Endochitinase A		GO:0004568, GO:0006032, GO:0016998
LOC_00000303-mRNA-1	tr|A0A1S4K743|A0A1S4K743_CULQU	***	CHK domain-containing protein		
LOC_00000354-mRNA-1	tr|A0A1S4JGV7|A0A1S4JGV7_CULQU	***	Odorant receptor		GO:0004984, GO:0005549, GO:0005886, GO:0007165, GO:0007608, GO:0016020, GO:0050896, GO:0050911
LOC_00000197-mRNA-1	tr|A0A1Q3FAG6|A0A1Q3FAG6_CULTA	***	40S ribosomal protein S21		GO:0003735, GO:0005737, GO:0005783, GO:0005791, GO:0005829, GO:0005840, GO:0006412, GO:1990904
LOC_00000197-mRNA-2	tr|U5EUE3|U5EUE3_9DIPT	***	Small ribosomal subunit protein eS21		GO:0003735, GO:0005737, GO:0005783, GO:0005791, GO:0005829, GO:0005840, GO:0006412, GO:1990904
LOC_00000349-mRNA-1	tr|A0A8S9WWY4|A0A8S9WWY4_APOLU	***	Lian-aa1 retrotransposon protein		GO:0003676, GO:0003824, GO:0004523, GO:0042575, GO:0071897
LOC_00000410-mRNA-1	sp|Q00899|TYY1_MOUSE	*-*	Transcriptional repressor protein YY1		GO:0000122, GO:0000400, GO:0000723, GO:0000724, GO:0000785, GO:0000976, GO:0000978, GO:0000981, GO:0000987, GO:0001227, GO:0001228, GO:0003677, GO:0003682, GO:0003700, GO:0003723, GO:0005515, GO:0005634, GO:0005654, GO:0005667, GO:0005677, GO:0005737, GO:0006275, GO:0006281, GO:0006282, GO:0006310, GO:0006338, GO:0006355, GO:0006357, GO:0006403, GO:0006974, GO:0007283, GO:0009952, GO:0010225, GO:0010467, GO:0010628, GO:0010629, GO:0016363, GO:0030097, GO:0030154, GO:0030183, GO:0031011, GO:0031519, GO:0032688, GO:0033044, GO:0034644, GO:0034696, GO:0043565, GO:0045739, GO:0045893, GO:0045944, GO:0045995, GO:0046332, GO:0046872, GO:0048593, GO:0051276, GO:0051726, GO:0060382, GO:0061052, GO:0071347, GO:0071707, GO:0140297, GO:1902894, GO:1904507, GO:1990837
LOC_00000253-mRNA-2	tr|A0A8D8FHF0|A0A8D8FHF0_CULPI	***	Very-long-chain 3-oxoacyl-CoA reductase		GO:0016020, GO:0016491
LOC_00000253-mRNA-1	tr|A0A8D8FHF0|A0A8D8FHF0_CULPI	***	Very-long-chain 3-oxoacyl-CoA reductase		GO:0016020, GO:0016491
LOC_00000406-mRNA-1	tr|A0A7M5X8I0|A0A7M5X8I0_9CNID	*--	E3 ubiquitin-protein ligase TRIM37		GO:0008270, GO:0016567
LOC_00000476-mRNA-1	tr|B0W4Z8|B0W4Z8_CULQU	***	Pupal cuticle protein		
LOC_00000512-mRNA-1	tr|B0XCA7|B0XCA7_CULQU	***	Cytochrome P450		GO:0004497, GO:0005506, GO:0005789, GO:0016020, GO:0016491, GO:0016705, GO:0020037, GO:0046872, GO:0050896
LOC_00000355-mRNA-1	tr|A0A1S4EY43|A0A1S4EY43_AEDAE	***	Odorant receptor		GO:0004984, GO:0005549, GO:0005886, GO:0007165, GO:0007608, GO:0016020, GO:0050896, GO:0050911
LOC_00000508-mRNA-1	tr|B0XCB1|B0XCB1_CULQU	*-*	Odorant receptor		GO:0004984, GO:0005549, GO:0005886, GO:0007165, GO:0007608, GO:0016020, GO:0050896, GO:0050911
LOC_00000299-mRNA-1	tr|A0A8D8IRN1|A0A8D8IRN1_CULPI	***	Sodium channel protein Nach		GO:0005272, GO:0006811, GO:0006814, GO:0016020, GO:0034220, GO:0035725
LOC_00000228-mRNA-2	tr|A0A6I8U9V0|A0A6I8U9V0_AEDAE	***	ABC transporter domain-containing protein		GO:0000166, GO:0005524, GO:0016020, GO:0016887, GO:0055085, GO:0140359
LOC_00000228-mRNA-1	tr|A0A6I8U9V0|A0A6I8U9V0_AEDAE	***	ABC transporter domain-containing protein		GO:0000166, GO:0005524, GO:0016020, GO:0016887, GO:0055085, GO:0140359
LOC_00000228-mRNA-6	tr|A0A6I8U9V0|A0A6I8U9V0_AEDAE	***	ABC transporter domain-containing protein		GO:0000166, GO:0005524, GO:0016020, GO:0016887, GO:0055085, GO:0140359
LOC_00000228-mRNA-5	tr|A0A6I8U9V0|A0A6I8U9V0_AEDAE	***	ABC transporter domain-containing protein		GO:0000166, GO:0005524, GO:0016020, GO:0016887, GO:0055085, GO:0140359
LOC_00000228-mRNA-4	tr|A0A6I8U9V0|A0A6I8U9V0_AEDAE	***	ABC transporter domain-containing protein		GO:0000166, GO:0005524, GO:0016020, GO:0016887, GO:0055085, GO:0140359
LOC_00000228-mRNA-3	tr|A0A6I8U9V0|A0A6I8U9V0_AEDAE	***	ABC transporter domain-containing protein		GO:0000166, GO:0005524, GO:0016020, GO:0016887, GO:0055085, GO:0140359
LOC_00000228-mRNA-7	tr|A0A6I8U9V0|A0A6I8U9V0_AEDAE	***	ABC transporter domain-containing protein		GO:0000166, GO:0005524, GO:0016020, GO:0016887, GO:0055085, GO:0140359
LOC_00000252-mRNA-1	tr|A0A8D8AU53|A0A8D8AU53_CULPI	***	Very-long-chain 3-oxoacyl-CoA reductase		GO:0016020, GO:0016491
LOC_00000252-mRNA-2	tr|A0A8D8AU53|A0A8D8AU53_CULPI	***	Very-long-chain 3-oxoacyl-CoA reductase		GO:0016020, GO:0016491
LOC_00000374-mRNA-1	tr|A0A8D8H3K6|A0A8D8H3K6_CULPI	***	Protein takeout		
LOC_00000531-mRNA-2	tr|B0WQL3|B0WQL3_CULQU	***	Protein YIPF		GO:0000139, GO:0005794, GO:0006888, GO:0016020
LOC_00000531-mRNA-1	tr|B0WQL3|B0WQL3_CULQU	***	Protein YIPF		GO:0000139, GO:0005794, GO:0006888, GO:0016020
LOC_00000281-mRNA-2	tr|A0A1S4FG14|A0A1S4FG14_AEDAE	***	DUF3421 domain-containing protein		
LOC_00000281-mRNA-1	tr|A0A1S4FG14|A0A1S4FG14_AEDAE	***	DUF3421 domain-containing protein		
LOC_00000304-mRNA-1	tr|B0X962|B0X962_CULQU	***	CHK kinase-like domain-containing protein		
LOC_00000456-mRNA-1	sp|Q91W82|UB2E2_MOUSE	***	Ubiquitin-conjugating enzyme E2 E2		GO:0000166, GO:0004842, GO:0005524, GO:0005634, GO:0006974, GO:0016567, GO:0016740, GO:0032020, GO:0042296, GO:0061631, GO:0070534, GO:0070936, GO:0070979, GO:1900087
LOC_00000456-mRNA-3	sp|Q91W82|UB2E2_MOUSE	***	Ubiquitin-conjugating enzyme E2 E2		GO:0000166, GO:0004842, GO:0005524, GO:0005634, GO:0006974, GO:0016567, GO:0016740, GO:0032020, GO:0042296, GO:0061631, GO:0070534, GO:0070936, GO:0070979, GO:1900087
LOC_00000456-mRNA-2	sp|Q91W82|UB2E2_MOUSE	***	Ubiquitin-conjugating enzyme E2 E2		GO:0000166, GO:0004842, GO:0005524, GO:0005634, GO:0006974, GO:0016567, GO:0016740, GO:0032020, GO:0042296, GO:0061631, GO:0070534, GO:0070936, GO:0070979, GO:1900087
LOC_00000526-mRNA-8	tr|B0XCR2|B0XCR2_CULQU	***	C2H2-type domain-containing protein		GO:0005634, GO:0007366, GO:0009887, GO:0046872
LOC_00000526-mRNA-5	tr|Q16X78|Q16X78_AEDAE	***	C2H2-type domain-containing protein		GO:0005634, GO:0007366, GO:0009887, GO:0046872
LOC_00000526-mRNA-4	tr|Q16X78|Q16X78_AEDAE	***	C2H2-type domain-containing protein		GO:0005634, GO:0007366, GO:0009887, GO:0046872
LOC_00000526-mRNA-7	tr|Q16X78|Q16X78_AEDAE	***	C2H2-type domain-containing protein		GO:0005634, GO:0007366, GO:0009887, GO:0046872
LOC_00000526-mRNA-6	tr|Q16X78|Q16X78_AEDAE	***	C2H2-type domain-containing protein		GO:0005634, GO:0007366, GO:0009887, GO:0046872
LOC_00000526-mRNA-1	tr|Q16X78|Q16X78_AEDAE	***	C2H2-type domain-containing protein		GO:0005634, GO:0007366, GO:0009887, GO:0046872
LOC_00000526-mRNA-3	tr|B0XCR3|B0XCR3_CULQU	***	C2H2-type domain-containing protein		GO:0005634, GO:0007366, GO:0009887, GO:0046872
LOC_00000526-mRNA-2	tr|Q16X78|Q16X78_AEDAE	***	C2H2-type domain-containing protein		GO:0005634, GO:0007366, GO:0009887, GO:0046872
LOC_00000369-mRNA-1	tr|A0A8D8CGG7|A0A8D8CGG7_CULPI	***	(northern house mosquito) hypothetical protein		GO:0043066
LOC_00000196-mRNA-1	tr|A0A0K8S889|A0A0K8S889_LYGHE	***	Reverse transcriptase domain-containing protein		GO:0071897
LOC_00000405-mRNA-1	tr|A0A8D8CTA3|A0A8D8CTA3_CULPI	***	Zinc finger protein		GO:0005634, GO:0008270
LOC_00000430-mRNA-1	tr|Q17B93|Q17B93_AEDAE	***	Globin family profile domain-containing protein		GO:0005344, GO:0015671, GO:0019825, GO:0020037, GO:0046872
LOC_00000168-mRNA-2	tr|B0WAY1|B0WAY1_CULQU	***	1-acyl-sn-glycerol-3-phosphate acyltransferase		GO:0003841, GO:0006629, GO:0008654, GO:0016020, GO:0016740, GO:0016746
LOC_00000168-mRNA-1	tr|A0A8D8PCW6|A0A8D8PCW6_CULPI	***	1-acyl-sn-glycerol-3-phosphate acyltransferase		GO:0003841, GO:0006629, GO:0008654, GO:0016020, GO:0016740, GO:0016746
LOC_00000248-mRNA-1	tr|A0A6E8WDN1|A0A6E8WDN1_ANOCL	*-*	C2H2-type domain-containing protein		GO:0005634, GO:0043229
LOC_00000541-mRNA-1	tr|A0A182GJ83|A0A182GJ83_AEDAL	***	Lipase domain-containing protein		GO:0005576, GO:0016298
LOC_00000373-mRNA-2	tr|A0A8D8H3K6|A0A8D8H3K6_CULPI	***	Protein takeout		
LOC_00000373-mRNA-1	tr|A0A8D8H3K6|A0A8D8H3K6_CULPI	***	Protein takeout		
LOC_00000219-mRNA-1	tr|B0X6C9|B0X6C9_CULQU	***	Methuselah		GO:0004930, GO:0007186, GO:0016020
LOC_00000219-mRNA-2	tr|A0A6I8TH02|A0A6I8TH02_AEDAE	***	G-protein coupled receptors family 2 profile 2 domain-containing protein		GO:0004888, GO:0004930, GO:0007166, GO:0007186, GO:0016020
LOC_00000219-mRNA-3	tr|A0A1S4G5U6|A0A1S4G5U6_AEDAE	***	G-protein coupled receptors family 2 profile 2 domain-containing protein		GO:0004888, GO:0004930, GO:0007166, GO:0007186, GO:0016020
LOC_00000219-mRNA-4	tr|A0A6I8TRB4|A0A6I8TRB4_AEDAE	***	G-protein coupled receptors family 2 profile 2 domain-containing protein		GO:0004888, GO:0004930, GO:0007166, GO:0007186, GO:0016020
LOC_00000219-mRNA-5	tr|A0A6I8TRB4|A0A6I8TRB4_AEDAE	***	G-protein coupled receptors family 2 profile 2 domain-containing protein		GO:0004888, GO:0004930, GO:0007166, GO:0007186, GO:0016020
LOC_00000219-mRNA-6	tr|A0A1S4G5U6|A0A1S4G5U6_AEDAE	***	G-protein coupled receptors family 2 profile 2 domain-containing protein		GO:0004888, GO:0004930, GO:0007166, GO:0007186, GO:0016020
LOC_00000219-mRNA-7	tr|A0A1S4G5U6|A0A1S4G5U6_AEDAE	***	G-protein coupled receptors family 2 profile 2 domain-containing protein		GO:0004888, GO:0004930, GO:0007166, GO:0007186, GO:0016020
LOC_00000219-mRNA-8	tr|A0A1S4G5U6|A0A1S4G5U6_AEDAE	***	G-protein coupled receptors family 2 profile 2 domain-containing protein		GO:0004888, GO:0004930, GO:0007166, GO:0007186, GO:0016020
LOC_00000219-mRNA-9	tr|A0A1S4G5U6|A0A1S4G5U6_AEDAE	***	G-protein coupled receptors family 2 profile 2 domain-containing protein		GO:0004888, GO:0004930, GO:0007166, GO:0007186, GO:0016020
LOC_00000425-mRNA-1	tr|A0A8D8JKS4|A0A8D8JKS4_CULPI	***	Zinc finger protein 420		GO:0005634, GO:0008270, GO:0046872
LOC_00000425-mRNA-2	tr|A0A8D8JKS4|A0A8D8JKS4_CULPI	***	Zinc finger protein 420		GO:0005634, GO:0008270, GO:0046872
LOC_00000536-mRNA-1	tr|A0A1S4JRE5|A0A1S4JRE5_CULQU	***	Polypeptide N-acetylgalactosaminyltransferase		GO:0000139, GO:0005794, GO:0006486, GO:0016020, GO:0016740, GO:0016757, GO:0030246
LOC_00000536-mRNA-2	tr|A0A1S4JRE5|A0A1S4JRE5_CULQU	***	Polypeptide N-acetylgalactosaminyltransferase		GO:0000139, GO:0005794, GO:0006486, GO:0016020, GO:0016740, GO:0016757, GO:0030246
LOC_00000272-mRNA-3	tr|A0A8D8NMI1|A0A8D8NMI1_CULPI	***	Zinc finger protein 62 homolog		GO:0005634, GO:0046872
LOC_00000272-mRNA-2	tr|A0A8D8NMI1|A0A8D8NMI1_CULPI	***	Zinc finger protein 62 homolog		GO:0005634, GO:0046872
LOC_00000272-mRNA-1	tr|A0A8D8NMI1|A0A8D8NMI1_CULPI	***	Zinc finger protein 62 homolog		GO:0005634, GO:0046872
LOC_00000495-mRNA-1	tr|A0A084VFE2|A0A084VFE2_ANOSI	***	Voltage-gated potassium channel		GO:0005216, GO:0005244, GO:0005249, GO:0005261, GO:0005267, GO:0006811, GO:0006813, GO:0008076, GO:0016020, GO:0034220, GO:0034702, GO:0051260, GO:0055085, GO:0071805
LOC_00000484-mRNA-3	tr|A0A8D8G2N9|A0A8D8G2N9_CULPI	*-*	Zinc finger protein 454		GO:0046872
LOC_00000484-mRNA-1	tr|A0A8D8G2N9|A0A8D8G2N9_CULPI	*-*	Zinc finger protein 454		GO:0046872
LOC_00000484-mRNA-2	tr|B0W4Z2|B0W4Z2_CULQU	*-*	Zinc finger protein 58		GO:0046872
LOC_00000262-mRNA-1	tr|A0A9P0CHH8|A0A9P0CHH8_BEMTA	*-*	Genome assembly, chromosome: 8		GO:0016020
LOC_00000540-mRNA-1	tr|A0A182GJ83|A0A182GJ83_AEDAL	***	Lipase domain-containing protein		GO:0005576, GO:0016298
LOC_00000383-mRNA-1	tr|A0A1S4H0Z1|A0A1S4H0Z1_ANOGA	***	Cellular retinaldehyde-binding protein		GO:1902936
LOC_00000485-mRNA-1	tr|A0A8D8G2N9|A0A8D8G2N9_CULPI	***	Zinc finger protein 454		GO:0046872
LOC_00000485-mRNA-2	tr|A0A8D8G2N9|A0A8D8G2N9_CULPI	***	Zinc finger protein 454		GO:0046872
